InvoiceNumber,CustomerName,InvoiceDate,DueDate,LineItems,PaymentMethod
INV-2025-001,McDonald's Corporation,2025-03-15,2025-03-30,"[{""item"":""Lunch Service"",""amount"":12.00}]",Credit Card
INV-2025-002,Starbucks Coffee Company,2025-03-16,2025-03-31,"[{""item"":""Coffee Beverage"",""amount"":4.33}]",Credit Card
INV-2025-003,SparkFun Electronics,2025-03-14,2025-04-14,"[{""item"":""Electronic Components"",""amount"":45.00},{""item"":""Development Board"",""amount"":44.40}]",Credit Card
INV-2025-004,Uber Technologies Inc,2025-03-02,2025-03-17,"[{""item"":""Rideshare Service"",""amount"":6.33}]",Online Payment
INV-2025-005,United Airlines Inc.,2025-03-10,2025-03-25,"[{""item"":""Flight Ticket Refund"",""amount"":-500.00}]",Credit Card
INV-2025-006,McDonalds #3322,2025-04-15,2025-04-30,"[{""item"":""Fast Food Order"",""amount"":12.00}]",Credit Card
INV-2025-007,Starbucks Store 5421,2025-04-15,2025-04-30,"[{""item"":""Coffee and Pastry"",""amount"":4.33}]",Credit Card
INV-2025-008,Spark Fun,2025-04-10,2025-05-10,"[{""item"":""Sensor Kit"",""amount"":35.00},{""item"":""Arduino Shield"",""amount"":54.40}]",Credit Card
INV-2025-009,Uber Pool Service,2025-04-01,2025-04-16,"[{""item"":""Shared Ride"",""amount"":6.33}]",Online Payment
INV-2025-010,United Air Lines,2025-04-12,2025-04-27,"[{""item"":""Ticket Cancellation Refund"",""amount"":-500.00}]",Credit Card
INV-2025-011,Amazon Web Services,2025-04-01,2025-04-16,"[{""item"":""Cloud Computing Services"",""amount"":125.50}]",Credit Card
INV-2025-012,McDonald's Restaurant,2025-05-14,2025-05-29,"[{""item"":""Meal Order"",""amount"":12.00}]",Credit Card
INV-2025-013,Starbucks Cafe,2025-05-15,2025-05-30,"[{""item"":""Beverage"",""amount"":4.33}]",Credit Card
INV-2025-014,SparkFun Company,2025-05-12,2025-06-12,"[{""item"":""Microcontroller"",""amount"":25.00},{""item"":""Power Supply"",""amount"":64.40}]",Credit Card
INV-2025-015,Uber Rideshare,2025-05-01,2025-05-16,"[{""item"":""Pool Ride"",""amount"":6.33}]",Online Payment
INV-2025-016,United Airlines Services,2025-05-10,2025-05-25,"[{""item"":""Flight Refund Processing"",""amount"":-500.00}]",Credit Card
INV-2025-017,Uber Technologies,2025-05-18,2025-06-02,"[{""item"":""Rideshare - Pool"",""amount"":5.40}]",Online Payment
INV-2025-018,Uber Inc,2025-04-17,2025-05-02,"[{""item"":""Shared Ride Service"",""amount"":5.40}]",Online Payment
INV-2025-019,Google Cloud Platform,2025-05-01,2025-05-16,"[{""item"":""Cloud Storage"",""amount"":89.99},{""item"":""Compute Engine"",""amount"":210.00}]",Credit Card
INV-2025-020,Microsoft Azure,2025-03-15,2025-03-30,"[{""item"":""Virtual Machines"",""amount"":175.50}]",Credit Card
INV-2025-021,Uber Transport,2025-03-18,2025-04-02,"[{""item"":""Ride Service"",""amount"":5.40}]",Online Payment
INV-2025-022,Stripe Payment Processing,2025-07-25,2025-08-09,"[{""item"":""Transfer Fee"",""amount"":15.00},{""item"":""Processing Fee"",""amount"":25.00}]",Bank Transfer
INV-2025-023,Digital Ocean,2025-04-20,2025-05-05,"[{""item"":""Droplet Hosting"",""amount"":45.00}]",Credit Card
INV-2025-024,McDonalds Corp,2025-03-16,2025-03-31,"[{""item"":""Food Service"",""amount"":12.00}]",Credit Card
INV-2025-025,Stripe Inc,2025-07-28,2025-08-12,"[{""item"":""Account Transfer"",""amount"":1500.00}]",Bank Transfer